Mês/rampa,NOVASOL,DISTRA,ALPHAEN,FIT SDM 12,FIT PV III,VERTA,MINCO,ENERVA (Jatobá 7.4),OPERON,ENERVA (Jatobá 7.2)
1,0.25,0.3,0,0.735,1,0.5,0.1,0.05,0.05,0.15
2,0.5,0.35,0,0.735,1,0.5,0.2,0.05,0.1,0.15
3,0.75,0.4,0,1,1,0.5,0.3,0.2,0.15,0.2
4,1,0.5,0,1,1,0.7,0.4,0.4,0.25,0.5
5,1,0.6,0,1,1,0.7,0.5,0.5,0.35,0.7
6,1,0.7,0,1,1,0.7,0.6,0.6,0.5,1
7,1,0.8,0.3,1,1,0.7,0.7,0.7,0.65,1
8,1,0.9,0.3,1,1,0.95,0.8,0.8,0.8,1
9,1,1,0.3,1,1,0.95,0.9,0.9,0.85,1
10,1,1,0.3,1,1,0.95,1,1,0.95,1
11,1,1,0.5,1,1,0.95,1,1,1,1
12,1,1,0.5,1,1,0.95,1,1,1,1
13,,,0.5,,,,,,,
14,,,0.5,,,,,,,
15,,,0.5,,,,,,,
16,,,0.8,,,,,,,
17,,,0.8,,,,,,,
18,,,0.8,,,,,,,
19,,,0.8,,,,,,,
20,,,0.8,,,,,,,
21,,,0.9,,,,,,,
22,,,0.9,,,,,,,
23,,,0.9,,,,,,,
24,,,0.9,,,,,,,
25,,,1,,,,,,,
