projeto,mes,status,perfComp,perfOper,P50,energiaFinal,receitaForecast,budget,inversores,modulos,estrutura,transformadores,cabine,rede,manutencao,sujidade,clima
Ipê 04,2026-01,COD,0.95,0.9176857498713407,381.5,332.59225789712065,238574.08750387747,246283.84625131503,0.007,0.0021,0.007,0.007,0.0007,0.007114250128659275,0.0014,0.01,0.04
Ipê 04,2026-02,COD,0.95,0.9376857498713407,357.87,318.7911193411338,227467.24185764813,237409.07292066538,0.007,0.0021,0.007,0.007,0.0007,0.007114250128659275,0.0014,0.01,0.02
Ipê 04,2026-03,COD,0.2,0.8076857498713408,354.6,57.28107338087548,17009.843459966796,262369.8416391422,0.007,0.0021,0.007,0.007,0.0007,0.007114250128659275,0.0014,0.01,0.15
Ipê 04,2026-04,COD,0.3,0.9476857498713407,369.52,105.05665148773735,55458.55329210605,252575.21866431984,0.007,0.0021,0.007,0.007,0.0007,0.007114250128659275,0.0014,0.01,0.01
Ipê 04,2026-05,COD,0.85,0.9887857498713407,391.45,329.00115451906584,235684.04834095598,263687.41887354857,0.003,0.001,0.004,0.004,0.0007,0.007114250128659275,0.0014,0.01,-0.02
Ipê 04,2026-06,COD,0.75,0.9,423.95,286.16625,201211.4813977125,287696.60403384303,0.003,0.001,0.01,0.004,0.0007,0.007114250128659275,0.0014,0.01,-0.02
Ipê 04,2026-07,COD,0.85,0.6793253921453002,465.45,268.76320320792547,187205.90108203422,322170.88407286373,0.003,0.001,0.004,0.004,0.0007,0.007114250128659275,0.0014,0.01,0.02
Ipê 04,2026-08,COD,0.85,0.7,487.07,289.80664999999993,204141.19337230845,332713.82620939496,0.003,0.001,0.004,0.004,0.0007,0.00711425012865928,0.0014,0.01,0.01
Ipê 04,2026-09,COD,0.85,0.72,435.02,266.23223999999993,185169.03886427754,294577.2851468541,0.003,0.001,0.004,0.004,0.0007,0.00711425012865928,0.0014,0.01,0.02
Ipê 04,2026-10,COD,0.85,0.75,418.91,267.055125,185831.27818913624,306874.67266798054,0.003,0.001,0.004,0.004,0.0007,0.00711425012865928,0.0014,0.01,0.01
Ipê 04,2026-11,COD,0.85,0.77,387.23,253.442035,174875.76978779217,276317.91952132457,0.003,0.001,0.004,0.004,0.0007,0.00711425012865928,0.0014,0.01,0.005
Ipê 04,2026-12,COD,0.85,0.85,338.28,244.40729999999996,167604.818431677,244564.26478591986,0.003,0.001,0.004,0.004,0.0007,0.00711425012865928,0.0014,0.01,-0.01
Ipê 06,2026-01,COD,0.95,0.9222364349185149,295.19,258.62322456241657,184252.164023214,186536.69787224522,0.007,0.0021,0.007,0.007,0.0007,0.0025635650814850365,0.0014,0.01,0.04
Ipê 06,2026-02,COD,0.95,0.9422364349185149,269.75,241.45986440330591,170574.74924952333,175583.764982146,0.007,0.0021,0.007,0.007,0.0007,0.0025635650814850365,0.0014,0.01,0.02
Ipê 06,2026-03,COD,0.95,0.8183241313247565,291.43,226.55999151237506,158701.09865224478,202684.7404645268,0.007,0.0021,0.01,0.007,0.0007,0.0025635650814850365,0.0014,0.01,0.14091230359375853
