Potência,Concessionária,Cliente,Nome do Projeto,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00,Total,,Forecast 5+7,V3,Dif MWh,Produção Específica (MWh/MWp/ano)
2.681,AmE,TELMO,Ipê 04,378.25,357.87,354.6,369.52,391.45,423.95,465.45,487.07,435.02,418.91,387.23,338.28,4807.599999999999,,4979.5,4979.5,0.035755886513021196,1793.2114882506526
1.898,AmE,TELCO,Ipê 06,290.86,269.75,291.43,255.33,282.8,310,354.81,369.9,340.41,339.31,289.48,280.79,3674.87,,3714.8500000000004,3733.3999999999996,0.01087929641048535,1936.1801896733405
3.4775,AmE,TELMO,Ipê 07-I,442.09,394.42,405.55,431.31,440.81,468.35,495.53,586.11,547.17,521.52,473.99,403.38,5610.229999999999,,5809.95,6141.200000000001,0.03559925350654103,1613.2940330697336
3.4775,AmE,TELMO,Ipê 07-II,446.88,388.9,449.22,439.46,431.23,528.99,549.98,619.01,564.59,569.23,479.8,438.31,5905.6,,5901.72,6210,-0.0006570035220807569,1698.2314881380303
1.266,AmE,TELCO,Ipê 09,191.92,179.05,183.41,169.74,154.36,186.13,203.41,235.47,228.4,228.86,199.16,188.97,2348.88,,2381.52,2422.29,0.013895984469193712,1855.3554502369668
1.3312,COPEL,TELMO,Vale Verde I,223.85,218.98,240.62,210.52,182.9,160.91,182.59,220.96,218.11,235.94,219.75,251.79,2566.92,,2583.7,2670.9999999999995,0.006537017125582301,1928.2752403846155
1.3312,COPEL,TELMO,Vale Verde II,228.13,217.6,248.77,195.98,185.4,163.85,182.84,220.48,218.71,235.24,250.7,220.95,2568.6499999999996,,2587.84,2677.08,0.007470850446732902,1929.5748197115383
1.3312,COPEL,TELMO,Vale Verde III,225.17,214.26,225.86,206.71,178.59,157.66,167.93,198.86,213.03,218.49,247.03,246.62,2500.21,,2521.8200000000006,2615.34,0.008643273964987097,1878.162560096154
1.3312,COPEL,TELMO,Vale Verde IV,224.87,214.15,243.8,207.17,154.46,157.78,179.19,215.28,213.57,213.76,246.79,225.42,2496.24,,2529.42,2615.67,0.013291991154696703,1875.1802884615383
1.3312,COPEL,TELMO,Vale Verde V,224.35,213.36,241.88,205.55,162.88,156.95,165.57,213.84,211.85,229.93,245.52,221.01,2492.6899999999996,,2509.25,2600.81,0.006643425375798984,1872.5135216346152
3.08,COPEL,ALPHAEN,Aurora,597.84,548.26,592.73,512.42,406,367.84,424.17,519.41,531.47,581.72,522.86,648.79,6253.51,,6445.8,6445.8,0.030749131287868714,2030.3603896103896
1.339,ETO,TELMO,Falcão 05,204.29,181.84,198.92,185.76,239.71,254.1,268.66,282.87,251.1,233.17,209.63,208.16,2718.21,,2795.1,2795.1,0.02828699769333487,2030.0298730395818
6.206,EMS,OPERON,Buriti,1033.4,1078.6,1172.9,1094.1,998.95,924.48,938.65,1120.3,1125.9,1202,1159.4,1191.4,13040.079999999998,,13027.64,13505.569999999996,-0.0009539818774116915,2101.2052852078627
6.206,EMS,NEXUS,Quartzo,1066.6,1122.8,1170.8,1010.9,1017.9,928.88,958.91,1183.2,1080.5,1181.7,1194.1,1208.6,13124.890000000001,,13048.839999999998,13477.179999999998,-0.005794334276325586,2114.8710924911375
6.16,EQUATORIAL GO,sem cliente,Campo Belo,1012.24,977.62,1049.0900000000001,1058.87,1058.0900000000001,985.63,1098.96,1241.15,1122.6,1139.2,987.5600000000001,1072.01,12803.02,,12924.6,13246,0.009496196991022332,2078.412337662338
3.366,ENEL CE,TELMO,Sertão 01,555.31,535.52,567.8,525.32,586.82,562.37,624.17,697.94,697.4,634.31,684.07,655.76,7326.789999999999,,7451.4800000000005,7627.38,0.017018366842778576,2176.705288175876
3.342,ENEL CE,TELMO,Sertão 02,594.33,546.2,539.94,478.47,580.59,527.66,611.3,666.43,698.07,730.68,681.42,658.46,7313.550000000001,,7319.07,7516.540000000001,0.0007547634185858243,2188.3752244165175
3.22,ENEL CE,NEXUS,Sertão 06,516.88,500.78,556.26,512.44,568.93,537.17,590.59,633.55,620.49,689.91,619.78,483.83,6830.61,,7140.099999999999,7140.099999999999,0.045309276916702945,2121.3074534161487
3.22,ENEL CE,NOVASOL,Sertão 07,517.48,502.37,482,513.38,570.6,539.82,593.9,634.88,666.29,691.92,580.98,537.03,6830.650000000001,,7097.199999999999,7097.199999999999,0.039022640597893066,2121.3198757763976
3.19,ENEL CE,NEXUS,Sertão 09,484.26,449.97,505.96,474.67,479.76,494.81,566.56,646.37,606.41,629.86,564.17,522.12,6424.919999999999,,6633.099999999999,6633.099999999999,0.03240195986876104,2014.081504702194
1.22,ENEL CE,NOVASOL,Sertão 15,220.63,201.57,225.08,181,221.98,192.23,203.97,254.48,257.69,269.41,255.44,242.59,2726.07,,2720.87,2790.75,-0.0019075078776408239,2234.4836065573772
3.051,ENEL CE,SOLARA,Sertão 17,512.59,500.7,529.53,484.51,543,524.26,531.4,655.95,661.74,672.7,534.62,553.22,6704.22,,6915.200000000001,6915.200000000001,0.031469731005247414,2197.3844641101277
3.19,ENEL CE,NEXUS,Sertão 18,529.01,464.95,496.14,471.25,535.62,533.61,581.31,681.36,619.01,663.61,591.2,572.71,6739.78,,7105,7105,0.05418871239120571,2112.783699059561
3.31968,ENEL CE,NEXUS,Sertão 19,549.59,482.92,514.54,495.93,565.55,570.66,619.35,662.65,685.18,681.53,660.59,567.39,7055.88,,7280.4000000000015,7280.4000000000015,0.03182026905219493,2125.46992481203
3.19,ENEL CE,NEXUS,Sertão 22,536.79,506.08,551.81,472.4,508.83,491.48,584.28,668,662.74,679.13,642.81,592.05,6896.400000000001,,6887.659999999999,7140.300000000001,-0.0012673278812136424,2161.8808777429467
3.19,ENEL CE,SOLARA,Sertão 23,540.73,516.29,605.4,481.98,561.9,550.26,603.5,695.73,687.92,731.19,674.88,659.32,7309.100000000001,,7391.58,7597.120000000001,0.011284563078901355,2291.2539184952984
0.626,EMS,MINCO,Ventania I,105.88,109.34,120.94,113.72,105.37,89.61,99.21,121.11,114.6,118.18,107.05,116.84,1321.85,,1327.75,1364.148,0.004463441388962597,2111.5814696485622
1.128,EMS,NEXUS,Ventania II,189.47,194.28,214.77,202.63,189.07,171.58,181,217.01,204.19,181,203.55,207.27,2355.82,,2362.1,2432.1200000000003,0.002665738468982992,2088.492907801419
0.814,EMS,NEXUS,Ventania III,143.14,127.55,146.3,145.98,136.62,123.99,130.51,156.67,147.01,151.08,146.08,138.71,1693.6399999999999,,1699.7599999999998,1750.1699999999996,0.0036135188115538064,2080.6388206388206
3.758,EMS,NEXUS,Ventania IV,673.12,656.22,722.57,677.72,630.88,571.26,636.8,723.02,683.48,705.81,506.72,699.71,7887.3099999999995,,7897.109999999999,8138.29,0.0012425021965662975,2098.8052155401806
