Rótulos de Linha,2026-06-01 00:00:00,2026-07-01 00:00:00,2026-08-01 00:00:00,2026-09-01 00:00:00,2026-10-01 00:00:00,2026-11-01 00:00:00,2026-12-01 00:00:00
Ipê 04,0.6793253921453002,0.7,0.72,0.75,0.77,0.85,0.88
Ipê 06,0.7709677419354839,0.7,0.72,0.75,0.77,0.85,0.88
Ipê 07-I,0.6934680666168462,0.35,0.7,0.75,0.77,0.85,0.88
Ipê 07-II,0.8053082288890149,0.7,0.72,0.75,0.77,0.85,0.88
Ipê 09,0.6823188094342664,0.7,0.7,0.72,0.75,0.8,0.85
Vale Verde I,0.8499782487104593,0.78,0.78,0.8,0.82,0.89,0.9
Vale Verde II,0.834726884345438,0.78,0.78,0.8,0.82,0.89,0.9
Vale Verde III,0.8121273626791831,0.78,0.78,0.8,0.82,0.89,0.9
Vale Verde IV,0.8238052985169222,0.78,0.78,0.8,0.82,0.89,0.9
Vale Verde V,0.7972602739726028,0.78,0.78,0.8,0.82,0.89,0.9
Aurora,0.7334514326881253,0.73,0.73,0.75,0.8,0.85,0.89
Falcão 05,0.8736717827626919,0.88,0.9,0.9,0.91,0.93,0.95
Buriti,0.7596486673589476,0.85,0.85,0.87,0.88,0.89,0.92
Quartzo,0.7654379467746103,0.8,0.8,0.85,0.87,0.89,0.9
Sertão 01,0.7268681206323238,0.8,0.83,0.85,0.88,0.9,0.9
Sertão 02,0.9020960466967366,0.85,0.87,0.87,0.88,0.93,0.93
Sertão 06,0.8451700578960106,0.9,0.9,0.9,0.9,0.92,0.92
Sertão 15,0.9403097981584562,0.9,0.9,0.9,0.9,0.92,0.92
Sertão 22,1.011231382762269,0.9,0.9,0.9,0.9,0.92,0.95
Sertão 23,0.9940755279322502,0.9,0.9,0.9,0.9,0.92,0.95
Ventania I,0.8704385671242049,0.8,0.8,0.83,0.85,0.88,0.9
Ventania II,0.7693204336169717,0.8,0.8,0.83,0.85,0.88,0.9
Ventania III,0.766190821840471,0.8,0.8,0.83,0.85,0.88,0.9
Ventania IV,0.23807023071806183,0.25,0.25,0.7,0.8,0.88,0.9
Guaíra I,0.9322531645569619,0.88,0.88,0.88,0.89,0.89,0.9
Guaíra II,0.9195053139145838,0.88,0.88,0.88,0.89,0.89,0.9
Guaíra III,0.8681897549681652,0.88,0.88,0.88,0.89,0.89,0.9
Guaíra IV,0.8993434391283752,0.88,0.88,0.88,0.89,0.89,0.9
Guaíra V,0.8369944184123485,0.88,0.88,0.88,0.89,0.89,0.9
Rubi,0.6275061728395062,0.65,0.68,0.7,0.75,0.85,0.85
Peroba 1,0.7698493771234428,0.87,0.87,0.88,0.89,0.9,0.9
Peroba 2,0.7773386243386242,0.87,0.87,0.88,0.89,0.9,0.9
Peroba 3,0.8770239246627641,0.88,0.88,0.88,0.89,0.9,0.9
Aliança,0,0,0.3,0.7,0.73,0.8,0.85
Tucano,0.8570130379942338,0.87,0.88,0.88,0.89,0.9,0.95
Planalto I,0.8371606301959189,0.8,0.85,0.88,0.88,0.89,0.95
Planalto II,0.8038580935251796,0.8,0.8,0.85,0.88,0.89,0.9
Planalto III,0.8182762516614976,0.8,0.8,0.85,0.88,0.89,0.9
Planalto IV,0.8445494453248812,0.8,0.85,0.85,0.88,0.89,0.92
Planalto V,0.8278400956937801,0.8,0.85,0.85,0.88,0.89,0.92
Pantanal,0.7824460197959263,0.8,0.85,0.88,0.9,0.9,0.9
Alvorada,0.8810525274899138,0.89,0.89,0.89,0.9,0.9,0.92
Coqueiro 1,0.5079718205413423,0.5,0.85,0.85,0.9,0.9,0.9
Cachoeira,0.7923212749581201,0.8,0.8,0.83,0.9,0.9,0.9
Horizonte I,0.6895323784538567,0.7,0.7,0.75,0.78,0.83,0.8
Horizonte II,0.743589973267705,0.8,0.8,0.83,0.85,0.88,0.92
Horizonte III,0.7609175025415115,0.8,0.8,0.83,0.85,0.88,0.92
Jatobá 1,0.8276802175132381,0.84,0.85,0.85,0.87,0.9,0.92
Jatobá 2,0.7540646939059273,0.74,0.75,0.75,0.78,0.85,0.88
Jatobá 6,0.9539752174247672,0.85,0.85,0.88,0.89,0.9,0.9
Jatobá 71,0.8573636173059768,0.85,0.88,0.9,0.9,0.9,0.95
Jatobá 72,0.8142436351083905,0.8,0.8,0.82,0.85,0.9,0.9
Jatobá 73,0.7636663763404338,0.8,0.8,0.82,0.85,0.9,0.9
Jatobá 74,0.7446980042313117,0.7,0.75,0.82,0.85,0.9,0.9
Jatobá 75,0.6137078211580498,0.6,0.7,0.82,0.85,0.9,0.9
Araucária 03,0.7698403875573687,0.8,0.8,0.8,0.82,0.83,0.85
Araucária 07,0.7259688835969839,0.75,0.8,0.8,0.8,0.8,0.8
Araucária 22,0.7884583123636973,0.8,0.8,0.85,0.85,0.85,0.85
Araucária 81,0.7112835434852893,0.8,0.8,0.85,0.85,0.88,0.9
Araucária 82,0.7286364854004822,0.8,0.8,0.85,0.85,0.88,0.9
Litoral 01,0.9955796341854745,0.9,0.9,0.9,0.91,0.92,0.92
Litoral 02,0.8867483141447372,0.9,0.9,0.9,0.91,0.92,0.92
Litoral 10,0.7105307870930537,0.75,0.75,0.8,0.8,0.85,0.9
Litoral 12,0.8594909630664452,0.85,0.85,0.88,0.88,0.88,0.9
Litoral 15,0.8814230611780761,0.9,0.9,0.9,0.9,0.9,0.92
Guará I,0.7798963040779294,0.78,0.8,0.83,0.85,0.88,0.89
Guará II,0.7568016867582469,0.78,0.8,0.83,0.85,0.88,0.89
Guará III,0.7985570799960449,0.78,0.8,0.83,0.85,0.88,0.89
Palmares,0.8143859652157069,0.85,0.8,0.8,0.83,0.88,0.89
Cerrado I,0.7969294735811491,0.85,0.85,0.88,0.89,0.9,0.92
Cerrado II,0.858197869101979,0.85,0.85,0.88,0.89,0.9,0.92
Bandeirante 1,0.8212416916941556,0.83,0.83,0.85,0.87,0.88,0.9
Serra Azul 03,0.646217955038454,0.68,0.68,0.7,0.71,0.75,0.75
Serra Azul 04,0.7288041370394311,0.8,0.8,0.8,0.83,0.88,0.9
Serra Azul 06,0.7759381060262799,0.83,0.83,0.85,0.87,0.9,0.9
Serra Azul 07,0.7548845528455286,0.83,0.83,0.85,0.87,0.9,0.9
Serra Azul 12,0.7848243823467306,0.83,0.83,0.85,0.87,0.9,0.9
Serra Azul 13,0.7607156101715538,0.83,0.83,0.85,0.87,0.9,0.9
Serra Azul 26,0.7723451632528899,0.83,0.83,0.85,0.87,0.9,0.9
Aroeira 1,0.8501965780312568,0.83,0.83,0.85,0.87,0.9,0.91
Aroeira 2,0.8075736739794503,0.83,0.83,0.85,0.87,0.9,0.91
Jacarandá 01,0.7646026573075959,0.83,0.83,0.85,0.87,0.9,0.91
,,0.7842682926829266,0.8041463414634142,0.8347560975609749,0.8537804878048785,0.8837804878048787,0.898658536585366
