DISCO,TUSD,TE,TUSD + TE,TUSD G,TUSD C,PIS/COFINS,ICMS,Tarifa Cheia,Vig. TUSD ,Data Reajuste
AME,594.6,281.11,875.71,13.8,22.61,0.05,0.2,1152.25,2026,maio,,Reajuste ok
CEEE,478.63,343.37,822,31.36,31.36,0.05,0.17,1042.4857324032976,2025,novembro,,Reajuste ok
CELPE,535.21,263.65,798.86,8.51,19.51,0.05,0.205,1057.7424693809996,2026,abril,,Reajuste ok
COELBA,620.08,257.65,877.73,24.5,39.87,0.05,0.205,1162.1714664018536,2026,abril,,Reajuste ok
COPEL,457.17,310.85,768.02,25.33,25.33,0.05,0.19,998.0766731643926,2026,junho,,Reajuste ok
COSERN,482.36,293.44,775.8,15.56,32,0.05,0.2,1020.7894736842105,2026,abril,,Reajuste ok
CPFL Jaguari /Sta Cruz,560.39,252.19,812.5799999999999,9.06,21.4,0.05,0.18,1043.106546854942,2026,março,,Reajuste ok
CPFL Pta,449.25,290.2,739.45,6.99,16.53,0.05,0.18,949.2297817715021,2026,abril,,Reajuste ok
EDP SP,456.67,330.03,786.7,4.11,12.02,0.05,0.18,1009.8844672657253,2025,outubro,,Reajuste ok
ELEKTRO SP,477.85,318.2,796.05,14.06,28.61,0.05,0.18,1021.8870346598202,2025,agosto,,Reajuste ok
EMS,662.01,324.59,986.5999999999999,13.56,35.79,0.05,0.17,1251.2365250475584,2026,abril,,Reajuste ok
ENEL CE,488.78,260.99,749.77,15.13,20.82,0.05,0.2,986.5394736842106,2026,abril,,Reajuste ok
EQUATORIAL GO,567.67,324.14,891.81,13.01,26.08,0.05,0.19,1158.9473684210527,2023,outubro,,Reajuste ok
ENEL SP,432.44,292.74,725.1800000000001,7.07,17.04,0.05,0.18,930.9114249037227,2023,julho,,Reajuste ok
ESS,423.67,322.09,745.76,23.4,23.4,0.05,0.18,957.3299101412067,2026,julho,,Reajuste ok
ETO,640.42,289.8,930.22,36.9,52.73,0.05,0.2,1223.9736842105265,2026,julho,,Reajuste ok
ERO,622.26,219.13,841.39,22.42,36.4,0.05,0.195,1100.2157567832626,2023,dezembro,,Reajuste ok
