disco,tusd,te,tusdC,tusdG,pisCofins,icms,vigenciaAno,reajusteMes
AME,594.6,281.11,22.61,13.8,0.05,0.2,2026,5
CEEE,478.63,343.37,31.36,31.36,0.05,0.17,2025,11
CELPE,535.21,263.65,19.51,8.51,0.05,0.205,2026,4
COELBA,620.08,257.65,39.87,24.5,0.05,0.205,2026,4
COPEL,457.17,310.85,25.33,25.33,0.05,0.19,2026,6
COSERN,482.36,293.44,32,15.56,0.05,0.2,2026,4
CPFL Jaguari /Sta Cruz,560.39,252.19,21.4,9.06,0.05,0.18,2026,3
CPFL Pta,449.25,290.2,16.53,6.99,0.05,0.18,2026,4
EDP SP,456.67,330.03,12.02,4.11,0.05,0.18,2025,10
ELEKTRO SP,477.85,318.2,28.61,14.06,0.05,0.18,2025,8
EMS,662.01,324.59,35.79,13.56,0.05,0.17,2026,4
ENEL CE,488.78,260.99,20.82,15.13,0.05,0.2,2026,4
EQUATORIAL GO,567.67,324.14,26.08,13.01,0.05,0.19,2023,10
ENEL SP,432.44,292.74,17.04,7.07,0.05,0.18,2023,7
ESS,423.67,322.09,23.4,23.4,0.05,0.18,2026,7
ETO,640.42,289.8,52.73,36.9,0.05,0.2,2026,7
ERO,622.26,219.13,36.4,22.42,0.05,0.195,2023,12
